Shun Ceht,-142.09375,75.625,-33.125,164.3381880119849
72 G. Aquarii,-162.9375,117.84375,-134.875,242.13022104915467
Jagai,59.90625,63.625,-240.8125,256.1787648699878
HIP 99994,106.5,172.0625,-134.25,242.83907512229163
HIP 106362,-217.21875,127.9375,-161.71875,299.5078352220105
Allobog,-92.9375,121.03125,-38.0625,157.27268131834754
HIP 18964,173.03125,9.0625,-163.53125,238.25283232183202
HIP 103048,45.34375,169.0625,-146.46875,228.2351403637814
Nu Gu,81.53125,-115.59375,39.96875,146.99238327950025
Dao Tiensi,-69.125,39.3125,-179.5625,196.3833742644728
HIP 54366,126.25,-0.125,108.375,166.38575284560875
Pandadjara,112.15625,-85.0,109.8125,178.50156741696276
Humanicnii,185.0625,38.1875,-158.09375,246.37379700682965
HIP 44997,78.53125,-109.90625,104.15625,170.57275699738074
HIP 18314,-173.53125,-257.375,18.28125,310.9488534359389
Bokwala,115.6875,-120.40625,44.71875,172.86130074969066
Mongan,-141.09375,-1.3125,-72.625,158.693287729231
Wen Salla,-102.03125,77.96875,-143.15625,192.3102021921549
Undia,-64.25,-3.40625,-182.5,193.5094701534333
Jambay,-85.65625,-31.3125,142.21875,168.94862731574648
HIP 870,-91.3125,-22.90625,-157.46875,183.46410049891233
HIP 27943,240.0625,78.90625,-144.1875,290.94026079517164
HIP 73368,-198.0625,0.1875,276.03125,339.7381933769921
HIP 9913,137.03125,16.0625,-257.0625,291.7476585836851
Mezaviates,-135.125,74.625,-38.25,159.0305591702425
HIP 113921,71.0625,124.53125,-216.53125,259.6992363473081
HIP 105929,23.6875,163.65625,-172.25,238.77715200645244
HIP 54530,110.9375,12.96875,68.40625,130.97607576147257
HIP 41153,-63.0625,-175.625,132.8125,229.04187321863222
T'ao T'an,76.5,155.875,-144.0625,225.61752930845157
Liu Xuan De,173.90625,39.03125,-188.1875,259.1936677889238
HIP 108748,-144.65625,86.8125,-152.5625,227.45803398992638
Ngomangatio,58.21875,104.25,-232.0625,260.97986370180456
Warwarindji,23.625,-170.6875,52.34375,180.08950953709797
Nauravanec,106.6875,-3.53125,120.875,161.26207864160904
HR 8435,-173.4375,34.5625,-97.84375,202.1101982250339
HIP 27128,149.46875,-118.03125,-89.8125,210.56725376794702
HIP 51487,31.875,-91.9375,166.8125,193.1189521706764
4 Sextantis,87.25,-65.0,96.84375,145.65807363157904
HIP 101962,101.15625,183.4375,-154.15625,260.0885478724025
HIP 49104,96.5625,-71.15625,118.90625,168.8970828918457
CD-44 1695,67.875,-26.40625,-61.84375,95.54556545504872
Brigua,-159.15625,-35.40625,-69.75,177.33972187055272
Jangu,116.9375,-16.75,87.65625,147.1005083958329
HIP 116454,-99.71875,3.9375,-154.0625,183.56085343575438
Antanasata,-183.84375,38.78125,-55.21875,195.8356967388415
HIP 107821,-152.875,20.75,-54.4375,163.59941788175774
20 Aquarii,-128.75,108.28125,-121.21875,207.35326607778572
Ngewin,-115.90625,66.84375,-122.75,181.57617741081842
Fongite,122.15625,-7.6875,114.0625,167.30660768948277
Etznab Yu,60.875,121.1875,-202.375,243.61407267694943
HIP 47652,27.9375,-108.71875,132.15625,173.39418941208785
Shotel,34.15625,128.625,-201.78125,241.71618251706897
70 Pegasi,-122.375,-10.03125,-124.5625,174.90592616550333
42 Aurigae,-47.34375,-219.75,57.96875,232.14622361913408
HIP 65701,119.71875,108.78125,86.6875,183.52291984756292
HIP 47158,113.875,-103.375,129.90625,201.31949741409176
HIP 111446,-118.75,57.96875,-156.90625,205.13778239423618
Gamma Indi,48.4375,147.78125,-152.8125,218.03015712066644
HIP 114333,94.1875,132.8125,-224.25,277.1254369640218
Njika Mo,93.53125,-118.53125,78.875,170.34969204000635
Hualamsa,81.09375,153.34375,-170.65625,243.33938772255408
Catalauni,59.8125,-137.65625,75.21875,167.88281231822094
Heria Pared,-169.90625,73.34375,-52.0625,192.2444885019464
HIP 118145,158.75,134.0,-235.75,314.22225414505573
HIP 58878,161.21875,65.0625,102.25,201.69203444313933
HIP 14521,197.0625,93.0,-159.78125,270.20858009658485
HIP 71828,-171.625,2.21875,274.65625,323.87670360898915
HIP 24084,209.4375,88.125,-136.6875,265.1670316753197
HIP 31730,41.03125,-234.15625,36.75,240.54786507185008
Adnyayar,103.53125,-117.3125,65.0625,169.45226846832855
HIP 18563,156.0,-68.5,-196.25,259.88903882234047
Svanequixil,28.34375,132.71875,-197.84375,239.91620241177438
HIP 117033,119.65625,131.0,-260.4375,315.1290363808332
HIP 27844,-23.46875,-220.96875,24.53125,223.56151934017512
Ndrian,56.65625,-104.53125,106.90625,159.89264892323067
HIP 79917,-100.78125,104.59375,137.8125,200.2223714944836
Jang Tun,128.25,-77.28125,77.71875,168.70286957584628
Mata Athi,69.09375,-106.53125,114.6875,171.102531167353
Vardine,51.09375,-116.84375,98.75,161.29040796998748
Choere,106.375,-17.25,115.6875,158.103765866756
Bratadi,202.90625,89.78125,-146.75,266.02101729116254
Brulebegera,165.59375,91.9375,-101.03125,214.6651052730159
Ralunkas,181.375,23.5,-159.03125,242.3635267559096
HIP 29133,99.28125,-168.09375,-34.75,198.29230416389083
Chhaleda,-125.78125,91.8125,69.3125,170.45433600839405
Er Tcher,-83.34375,-60.8125,139.875,173.80839003141506
HIP 63077,286.96875,190.65625,-34.25,346.22814969413594
HIP 3139,-12.84375,9.96875,-434.03125,434.33565806549603
HIP 116688,-252.0,-57.46875,-191.5,321.6813753181283
HIP 98269,-593.03125,142.3125,62.78125,613.0908549997912
HIP 96631,-517.34375,209.09375,52.09375,560.4270788801942
HIP 97316,-357.09375,35.21875,80.4375,367.7315570451834
HIP 97311,-748.59375,212.4375,96.0,784.0524816269077
HIP 96833,-838.0,319.65625,85.96875,901.0076271267769
HIP 99340,-972.75,188.15625,84.84375,994.4062544192515
HIP 99960,-963.75,157.40625,76.09375,979.4799889880982
HIP 84137,-290.875,315.0625,251.65625,497.1956483068939
